category,Became fully vaccinated (2 doses),1 dose
Thu Dec 24 2020,0,0
Wed Dec 30 2020,0,0
Thu Dec 31 2020,0,0
Fri Jan 01 2021,0,0
Sat Jan 02 2021,0,0
Sun Jan 03 2021,0,0
Mon Jan 04 2021,0,0
Tue Jan 05 2021,0,0
Wed Jan 06 2021,430,0
Thu Jan 07 2021,657,11594
Fri Jan 08 2021,940,13992
Sat Jan 09 2021,913,14787
Sun Jan 10 2021,2,9981
Mon Jan 11 2021,0,8859
Tue Jan 12 2021,81,11367
Wed Jan 13 2021,1366,9865
Thu Jan 14 2021,2258,11979
Fri Jan 15 2021,1900,13709
Sat Jan 16 2021,1120,13340
Sun Jan 17 2021,1190,9817
Mon Jan 18 2021,19,9672
Tue Jan 19 2021,1929,12417
Wed Jan 20 2021,3376,10408
Thu Jan 21 2021,3932,11967
Fri Jan 22 2021,4533,6635
Sat Jan 23 2021,4308,6853
Sun Jan 24 2021,2487,1940
Mon Jan 25 2021,4187,1350
Tue Jan 26 2021,6015,3692
Wed Jan 27 2021,6587,2926
Thu Jan 28 2021,7056,4854
Fri Jan 29 2021,6393,3822
Sat Jan 30 2021,6108,3265
Sun Jan 31 2021,1062,1754
Mon Feb 01 2021,1444,812
Tue Feb 02 2021,1764,951
Wed Feb 03 2021,2937,779
Thu Feb 04 2021,5983,741
Fri Feb 05 2021,6854,840
Sat Feb 06 2021,8742,1175
Sun Feb 07 2021,5171,1347
Mon Feb 08 2021,4419,2568
Tue Feb 09 2021,9366,3096
Wed Feb 10 2021,10196,3290
Thu Feb 11 2021,11263,3454
Fri Feb 12 2021,14294,1311
Sat Feb 13 2021,13025,1481
Sun Feb 14 2021,10336,343
Mon Feb 15 2021,7494,204
Tue Feb 16 2021,4797,256
Wed Feb 17 2021,8432,675
Thu Feb 18 2021,10436,1947
Fri Feb 19 2021,11913,5054
Sat Feb 20 2021,11436,9859
Sun Feb 21 2021,6771,9633
Mon Feb 22 2021,4747,8175
Tue Feb 23 2021,6373,9879
Wed Feb 24 2021,4548,12593
Thu Feb 25 2021,3859,15253
Fri Feb 26 2021,2565,19240
Sat Feb 27 2021,2958,21381
Sun Feb 28 2021,1131,18036
Mon Mar 01 2021,1111,16313
Tue Mar 02 2021,1682,20644
Wed Mar 03 2021,1814,25584
Thu Mar 04 2021,1408,29001
Fri Mar 05 2021,945,34941
Sat Mar 06 2021,1562,38136
Sun Mar 07 2021,1182,29010
Mon Mar 08 2021,1869,20013
Tue Mar 09 2021,2517,28530
Wed Mar 10 2021,3011,32253
Thu Mar 11 2021,2510,38100
Fri Mar 12 2021,1034,42469
Sat Mar 13 2021,1938,51648
Sun Mar 14 2021,929,40930
Mon Mar 15 2021,1668,31530
Tue Mar 16 2021,1635,49944
Wed Mar 17 2021,1741,56461
Thu Mar 18 2021,1610,56509
Fri Mar 19 2021,2480,58666
Sat Mar 20 2021,2385,57898
Sun Mar 21 2021,1415,39408
Mon Mar 22 2021,748,30587
Tue Mar 23 2021,1746,48913
Wed Mar 24 2021,1621,70830
Thu Mar 25 2021,1722,77724
Fri Mar 26 2021,1987,81009
Sat Mar 27 2021,1928,75812
Sun Mar 28 2021,984,63966
Mon Mar 29 2021,1963,48490
Tue Mar 30 2021,2641,68004
Wed Mar 31 2021,1931,87942
Thu Apr 01 2021,1895,82165
Fri Apr 02 2021,2635,85548
Sat Apr 03 2021,1119,58448
Sun Apr 04 2021,579,68546
Mon Apr 05 2021,149,52303
Tue Apr 06 2021,951,75248
Wed Apr 07 2021,1635,102747
Thu Apr 08 2021,1577,106986
Fri Apr 09 2021,2238,103144
Sat Apr 10 2021,2384,102399
Sun Apr 11 2021,2168,92626
Mon Apr 12 2021,269,74453
Tue Apr 13 2021,1843,93849
Wed Apr 14 2021,1944,110873
Thu Apr 15 2021,2285,103145
Fri Apr 16 2021,2442,113192
Sat Apr 17 2021,2311,104967
Sun Apr 18 2021,1066,85499
Mon Apr 19 2021,695,66202
Tue Apr 20 2021,1592,88817
Wed Apr 21 2021,1799,134896
Thu Apr 22 2021,1958,132962
Fri Apr 23 2021,3854,130018
